,source,target,source_group,target_group,weight,source_image,target_image,rim_color
0,GS00S04838|00001197902C1045929E3101CGS00S04838,9122532,contract,vendor,0.11142678628266944,/company_contract.png,/company_vendor.png,blue
1,GS00S86307|00001197908C2526929E3101GS00S86307,9122532,contract,vendor,0.11437396112086952,/company_contract.png,/company_vendor.png,blue
2,GS00S86603|00001198011CDTFA0180F87043GS00S86603,9122532,contract,vendor,0.2366817169061737,/company_contract.png,/company_vendor.png,blue
3,GS00S86953|00001198012CDTFA0181F87074GS00S86953,9122532,contract,vendor,0.14384570950287054,/company_contract.png,/company_vendor.png,blue
4,GS00S86307|00001197909CW17982181GS00S86307,9122532,contract,vendor,0.44887830525658107,/company_contract.png,/company_vendor.png,blue
5,GS00S86307|00001197907C2213929E3101GS00S86307,9122532,contract,vendor,0.10847961144446933,/company_contract.png,/company_vendor.png,blue
6,GS00S04838|00001197901CW17971381GS00S04838,9122532,contract,vendor,0.4031970952644793,/company_contract.png,/company_vendor.png,blue
7,GS00S86307|00001197909CW17976901GS00S86307,9122532,contract,vendor,0.157107996274771,/company_contract.png,/company_vendor.png,blue
8,GS00S86603|00001198003CDTFA0180F87319GS00S86603,9122532,contract,vendor,0.1305834227309701,/company_contract.png,/company_vendor.png,blue
9,GS00S86307|00001197909CW17983071GS00S86307,9122532,contract,vendor,0.12616266047366995,/company_contract.png,/company_vendor.png,blue
10,GS00S86307|00001197909C3024929E3101GS00S86307,9122532,contract,vendor,0.11142678628266944,/company_contract.png,/company_vendor.png,blue
11,GS00S85177|00001198102C047927GS00S85177,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
12,GS00S49046|00001197906C79876GS00S49046,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
13,GS00S86953|00001198009C3153029E3101CGS00S86953,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
14,FCC0276|00001197910C0254053E2303FCC0276,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
15,00001197909DS3191273,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
16,GS00K93AGS5609|00000199309C0390GS00K93AGS5609,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
17,GS00S49046|00001197906C90707GS00S49046,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
18,GS00C01933|00001198003C47125GS00C01933,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
19,GS00C01933|00001198006C21638GS00C01933,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
20,GS00C01933|00001198008C17755GS00C01933,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
21,GS35F0002D|00000199607C0274GS35F0002D,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
22,GS00C01529|00001197907C79890GS00C01529,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
23,GS00C01933|00001198007C23768GS00C01933,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
24,GS00C01933|00001198002C126215GS00C01933,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
25,00001197909D1408000117546,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
26,GS00C01529|00001197906C79876GS00C01529,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
27,00001197909D1408000117554,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
28,00001198006DFCC0347,55189732,contract,secondary_vendor,0.1364777724073703,/company_contract.png,/company_secondary.png,blue
